filename,treatment,treatment2,treatment3,spoken_comment,written_comment,opened,clicked,unsub,gender,english,age,yearbuilt,units,lowrise,mid_highrise,dem,rep,npp,vote_2020_general,vote_2017_municipal,vote_2016_general
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,20,1963,18,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,75,1962,8,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,40,1919,5,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,49,1959,24,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,38,1966,319,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,47,1964,60,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,24,1955,9,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,22,1964,5,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,64,1957,6,1,0,0,1,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,20,1916,10,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,0,79,1964,34,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,34,1987,11,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,24,1964,9,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,56,1964,18,1,0,0,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,40,1953,18,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,39,1963,14,1,0,0,0,1,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,34,1948,9,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,19,1986,8,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,37,1964,20,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,26,1953,8,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,47,1973,10,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,31,1943,26,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,1,1,1,36,1946,17,1,0,0,1,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,36,1923,10,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,26,1964,14,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,31,1923,22,1,0,0,0,1,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,45,1949,8,1,0,1,0,0,1,0,1
